Date / Time,City,State,Shape,Duration,Summary,Posted
6/20/2020 7:00,,,Circle,,"(-73.0775130, -72.4419370) on Google Earth",7/3/2020
6/20/2020 5:11,Newburgh,IN,,,MADAR Node 142,7/3/2020
6/20/2020 5:11,Newburgh,IN,,,MADAR Node 142,7/23/2020
6/19/2020 18:18,Fishers,IN,,,MADAR Node 84,7/23/2020
6/19/2020 4:03,Pearl Lake State Park (25 miles north of Steamboat Springs),CO,Oval,10 minutes,"Observed 2 rows of many UFO's (oval, soft white, no noise) for 10 minutes in unison traveling N.W. from Pearl Lake State Park",6/25/2020
6/18/2020 21:45,Myrtle Beach,PA,Circle,20 minutes,Orange lights in the sky,7/23/2020
6/18/2020 21:30,Garden City,SC,Sphere,Few seconds,"Large Orb that split into three orbs seen off South Carolina coast by five witnesses- June 18th, 2020",7/23/2020
6/18/2020 4:05,Woodstock,NY,Light,2 minutes,30-50 star-sized lights moved independently in a single-file line straight across the sky ((Starlink satellites?)),6/25/2020
6/18/2020 3:00,Oneonta,AL,Circle,10-15 seconds,"3 AM 6 bright lights rotating in perfect circle, made no noise",7/3/2020
6/17/2020 23:00,Damascus,OR,Light,1-2 minutes,Two fast moving lights.,6/25/2020
6/17/2020 23:00,Edisto Beach,SC,Circle,3 minutes,Orange lights off Edisto Beach over the Atlantic Ocean.,6/25/2020
6/17/2020 22:10,Ladson,SC,Formation,8 seconds,Multiple lights in formation possibly multiple crafts,6/25/2020
6/17/2020 22:10,Fishers,IN,,,MADAR Node 84,7/23/2020
6/17/2020 22:00,Marshall,AR,Light,20 minutes,"Multiple fast moving, pulsing objects doing crazy maneuvers.",7/3/2020
6/17/2020 21:30,Nogales,AZ,Light,1 minutes,"On June 17th 2020 at approximately 2130 hours while taking a night drive to the area of Pena Blanca Lake, about 10 miles west of Nogale",6/25/2020
6/17/2020 20:00,Preston,MD,Triangle,15 minute,"My wife, for 15 minutes, observed a triangular shaped UFO with blue lights on its tips.",7/31/2020
6/17/2020 16:10,Salinas,CA,Other,20 seconds,20 or more white lights in 2 straight lines .,6/25/2020
6/17/2020 14:15,Riley,OR,Chevron,20 seconds,Stopped near reservoir and saw three silver objects flying in formation. We first thought they were drones but they disappeared.,6/25/2020
6/17/2020 10:15,Vancouver (Canada),BC,Cigar,6 minutes,Video of strange object floating through the sky above Vancouver.,6/25/2020
6/17/2020 10:03,Folly Beach,SC,Fireball,10 seconds,"One of my friends said he saw something in the sky, we saw 2 more of them, the first one was blinking across the sky like it was going",6/25/2020
6/17/2020 10:00,North Myrtle Beach,SC,Other,5 minutes,Flashing and fire in the sky.,6/25/2020
6/17/2020 9:30,Albuquerque,NM,Teardrop,1-2 hours,There's been odd blueish white tear drops gilding across abq towards the NE heights every 6-10 mins one by one We first witnessed 1 at,7/23/2020
6/17/2020 4:45,Independence,MO,Sphere,2 minutes,My girlfriend and I witnessed 30 or more star-like/satellite-like objects traveling in a straight line from west to east at about the s,6/25/2020
6/17/2020 4:30,Victoria Island,CA,Circle,8 minutes,40 lights seen in night sky traveling in formation.,6/25/2020
6/17/2020 4:16,Groveland,CA,Light,5 minutes,Train of lights headed into Nevada.,6/25/2020
6/17/2020 4:15,Live Oak,CA,Sphere,0:02,I went to go pick up my friend when we were there in the car and as I open the sunroof we noticed what looked like a string of stars or,6/25/2020
6/17/2020 1:45,Mt. Vernon,IN,,,MADAR Node 119,7/23/2020
