Date / Time,City,State,Shape,Duration,Summary,Posted
4/20/2019 18:40,Olympia,WA,Cigar,2 hours,I have pictures of 3 cigar shaped crafts that looked like temples when the landed.,5/9/2019
,,,,,,
,,,,,3 50-80' tall with Egyptian designs on them. One,
4/20/2019 18:30,Independence,MO,Fireball,20 seconds,"Bright red and orange solid light over Independence, Missouri.",4/25/2019
4/20/2019 14:00,Bismarck/Mandan (between),ND,Changing,30 seconds,Strange expanding portal looking object seen in broad daylight.,4/25/2019
4/20/2019 12:59,Goffstown,NH,,,MADAR Node 05,4/25/2019
4/20/2019 12:26,Helotes,TX,,,MADAR Node 06,4/25/2019
4/20/2019 10:15,Heightstown,NJ,Triangle,3 minutes,"My stepmother and I were driving on Indian Hill Rd., when we experienced a light gray triange shaped ufo with red and white lights.",4/25/2019
4/20/2019 9:38,Waco,TX,Triangle,10 seconds,"Triangle shaped object, three red lights, one light on each point.",4/25/2019
4/20/2019 8:00,Plymouth,WI,Changing,1 minute,"Cloud like object appeared, then disappears, appears again and collapsed on itself to disappear.",4/25/2019
4/20/2019 4:20,Weed,CA,Cigar,"4 minutes, 20 seconds","((HOAX)) So y'all see, a big old cigar came down and yeeted our whole class on 4/20 in a BLAZE of smoke.",4/25/2019
4/20/2019 3:30,Sherman Oaks,CA,Fireball,3 minutes,Ball of light flying in multiple directions over Sherman Oaks.,4/25/2019
4/20/2019 1:42,Norwood,NJ,,,MADAR Node 145,4/25/2019
4/19/2019 19:15,Whittier,CA,Light,10 minutes,Bright star-like object seen moving east to west over the Los Angeles area around sunset. ((anonymous report)),4/25/2019
4/19/2019 17:35,Oklahoma City,OK,Oval,30 seconds,"Black oval object in sky flashing blue lights that ""winked-out"" followed by a circling jet and then three helicopters.",4/25/2019
4/19/2019 12:30,Jamaica (Queens),NY,Circle,20 minutes,Low rumbling sound from a stationary object that emits a beam.,4/25/2019
4/19/2019 5:05,Eureka,CA,Sphere,~2 minutes,Bright orange/red orb Northwest sky 20degrees above the horizon. Bright would dim and get brighter. Then it moved slightly. Then it fad,4/25/2019
4/19/2019 4:04,Joplin,MO,Sphere,2 minutes,"On my way to work, on the northern horizon. I noticed what looked like a red flashing radio tower signal light above par-hill park. The",4/25/2019
